lastUpdated,title,url
" This page was last edited on 6 October 2021, at 10:48",Data science,https://en.wikipedia.org/wiki/Data_science
" This page was last edited on 12 July 2021, at 04:51",Relevance vector machine,https://en.wikipedia.org/wiki/Relevance_vector_machine
" This page was last edited on 7 September 2021, at 23:38",DBSCAN,https://en.wikipedia.org/wiki/DBSCAN
" This page was last edited on 2 October 2021, at 05:07",CURE algorithm,https://en.wikipedia.org/wiki/CURE_algorithm
" This page was last edited on 12 July 2021, at 04:54",BIRCH,https://en.wikipedia.org/wiki/BIRCH
" This page was last edited on 7 September 2021, at 07:38",Hierarchical clustering,https://en.wikipedia.org/wiki/Hierarchical_clustering
" This page was last edited on 8 October 2021, at 17:28",Expectationâ€“maximization algorithm,https://en.wikipedia.org/wiki/Expectation%E2%80%93maximization_algorithm
" This page was last edited on 20 September 2021, at 19:15",-means clustering,https://en.wikipedia.org/wiki/K-means_clustering
" This page was last edited on 10 October 2021, at 10:06",-nearest neighbors algorithm,https://en.wikipedia.org/wiki/K-nearest_neighbors_algorithm
" This page was last edited on 12 October 2021, at 03:31",Support-vector machine,https://en.wikipedia.org/wiki/Support-vector_machine
" This page was last edited on 7 August 2021, at 15:15",Perceptron,https://en.wikipedia.org/wiki/Perceptron
" This page was last edited on 18 August 2021, at 12:58",Naive Bayes classifier,https://en.wikipedia.org/wiki/Naive_Bayes_classifier
" This page was last edited on 5 October 2021, at 14:22",Artificial neural network,https://en.wikipedia.org/wiki/Artificial_neural_network
" This page was last edited on 18 September 2021, at 05:01",Linear regression,https://en.wikipedia.org/wiki/Linear_regression
" This page was last edited on 9 October 2021, at 05:19",Logistic regression,https://en.wikipedia.org/wiki/Logistic_regression
" This page was last edited on 13 September 2021, at 08:01",Random forest,https://en.wikipedia.org/wiki/Random_forest
